200. 《芙蓉镇》 | 评分：9.3 | 评价人数：185929 | 年份：1987 | 短评：
201. 《荒蛮故事》 | 评分：8.7 | 评价人数：511759 | 年份：2014 | 短评：
202. 《遗愿清单》 | 评分：8.7 | 评价人数：531160 | 年份：2007 | 短评：
203. 《大佛普拉斯》 | 评分：8.7 | 评价人数：546959 | 年份：2017 | 短评：
204. 《源代码》 | 评分：8.6 | 评价人数：917694 | 年份：2011 | 短评：
205. 《疯狂的麦克斯4：狂暴之路》 | 评分：8.7 | 评价人数：612525 | 年份：2015 | 短评：
206. 《你看起来好像很好吃》 | 评分：8.9 | 评价人数：372112 | 年份：2010 | 短评：
207. 《贫民窟的百万富翁》 | 评分：8.6 | 评价人数：802550 | 年份：2008 | 短评：
208. 《花束般的恋爱》 | 评分：8.6 | 评价人数：810842 | 年份：2021 | 短评：
209. 《可可西里》 | 评分：8.9 | 评价人数：342449 | 年份：2004 | 短评：
210. 《城市之光》 | 评分：9.3 | 评价人数：170350 | 年份：1931 | 短评：
211. 《白日梦想家》 | 评分：8.6 | 评价人数：633452 | 年份：2013 | 短评：
212. 《波西米亚狂想曲》 | 评分：8.6 | 评价人数：683351 | 年份：2018 | 短评：
213. 《东邪西毒》 | 评分：8.6 | 评价人数：631073 | 年份：1994 | 短评：
214. 《爆裂鼓手》 | 评分：8.6 | 评价人数：683782 | 年份：2014 | 短评：
215. 《青蛇》 | 评分：8.6 | 评价人数：596256 | 年份：1993 | 短评：
216. 《爱乐之城》 | 评分：8.4 | 评价人数：1083413 | 年份：2016 | 短评：
217. 《哈利·波特与死亡圣器(上)》 | 评分：8.6 | 评价人数：686682 | 年份：2010 | 短评：
218. 《无耻混蛋》 | 评分：8.7 | 评价人数：553691 | 年份：2009 | 短评：
219. 《黑天鹅》 | 评分：8.6 | 评价人数：841355 | 年份：2010 | 短评：
220. 《终结者2：审判日》 | 评分：8.8 | 评价人数：380933 | 年份：1991 | 短评：
221. 《大红灯笼高高挂》 | 评分：8.8 | 评价人数：363819 | 年份：1991 | 短评：
222. 《初恋这件小事》 | 评分：8.5 | 评价人数：1045926 | 年份：2010 | 短评：
223. 《新龙门客栈》 | 评分：8.7 | 评价人数：503655 | 年份：1992 | 短评：
224. 《人工智能》 | 评分：8.7 | 评价人数：497457 | 年份：2001 | 短评：
225. 《雨人》 | 评分：8.7 | 评价人数：440098 | 年份：1988 | 短评：
226. 《崖上的波妞》 | 评分：8.6 | 评价人数：569534 | 年份：2008 | 短评：
227. 《千钧一发》 | 评分：8.8 | 评价人数：345381 | 年份：1997 | 短评：
228. 《虎口脱险》 | 评分：8.9 | 评价人数：292165 | 年份：1966 | 短评：
229. 《罗生门》 | 评分：8.8 | 评价人数：354747 | 年份：1950 | 短评：
230. 《真爱至上》 | 评分：8.5 | 评价人数：799540 | 年份：2003 | 短评：
231. 《哈利·波特与凤凰社》 | 评分：8.6 | 评价人数：686152 | 年份：2007 | 短评：
232. 《彗星来的那一夜》 | 评分：8.6 | 评价人数：675330 | 年份：2013 | 短评：
233. 《恋恋笔记本》 | 评分：8.5 | 评价人数：741898 | 年份：2004 | 短评：
234. 《海边的曼彻斯特》 | 评分：8.6 | 评价人数：643779 | 年份：2016 | 短评：
235. 《火星救援》 | 评分：8.5 | 评价人数：823425 | 年份：2015 | 短评：
236. 《黑客帝国2：重装上阵》 | 评分：8.7 | 评价人数：451163 | 年份：2003 | 短评：
237. 《奇迹男孩》 | 评分：8.6 | 评价人数：596795 | 年份：2017 | 短评：
238. 《步履不停》 | 评分：8.8 | 评价人数：322471 | 年份：2008 | 短评：
239. 《千年女优》 | 评分：8.8 | 评价人数：314227 | 年份：2001 | 短评：
240. 《战争之王》 | 评分：8.7 | 评价人数：411601 | 年份：2005 | 短评：
241. 《萤火虫之墓》 | 评分：8.7 | 评价人数：436483 | 年份：1988 | 短评：
242. 《谍影重重2》 | 评分：8.7 | 评价人数：395624 | 年份：2004 | 短评：
243. 《蜘蛛侠：平行宇宙》 | 评分：8.6 | 评价人数：749967 | 年份：2018 | 短评：
244. 《攻壳机动队》 | 评分：9.0 | 评价人数：214056 | 年份：1995 | 短评：
245. 《冰雪奇缘》 | 评分：8.5 | 评价人数：814631 | 年份：2013 | 短评：
246. 《血钻》 | 评分：8.7 | 评价人数：418597 | 年份：2006 | 短评：
247. 《魂断蓝桥》 | 评分：8.8 | 评价人数：307955 | 年份：1940 | 短评：
248. 《隐藏人物》 | 评分：8.9 | 评价人数：267190 | 年份：2016 | 短评：
249. 《房间》 | 评分：8.7 | 评价人数：397513 | 年份：2015 | 短评：
250. 《小姐》 | 评分：8.5 | 评价人数：563836 | 年份：2016 | 短评：
